Title,Text,Author,Source,Label
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Steelers Coach Mike Tomlin ‘Rip’ Alejandro Villanueva For Not Protesting During the National Anthem?,NaN,NaN,Snopes Aggregator,Unreliable
Did Budweiser Pull Advertising from the NFL Over National Anthem Protests?,NaN,NaN,Snopes Aggregator,Unreliable
Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect the Flag’?,NaN,NaN,Snopes Aggregator,Unreliable
Do ‘Sonic Weapons’ Adequately Explain ‘Health Attacks’ on Diplomats in Cuba?,NaN,NaN,Snopes Aggregator,Unreliable
Is It Illegal in Florida to Power Your Home With Solar After a Storm Because of Lobbying?,NaN,NaN,Snopes Aggregator,Unreliable
Did an American Actor Take Part in a London Bomb Attack ‘Hoax’?,NaN,NaN,Snopes Aggregator,Unreliable
Aaron Rodgers Photographed Holding ‘Stand For the Flag,NaN,NaN,Snopes Aggregator,Unreliable
Cleveland Browns Forced to Issue Refunds to 90 Percent of Season Ticket Holders?,NaN,NaN,Snopes Aggregator,Unreliable
NFL Fines Pittsburgh Steelers $1M Each for Skipping National Anthem?,NaN,NaN,Snopes Aggregator,Unreliable
‘No Mother Should Have to Fear for Her Son’s Life Every Time He Robs a Store’,NaN,NaN,Snopes Aggregator,Unreliable
Donald Trump Condoned Flag Burning?,NaN,NaN,Snopes Aggregator,Unreliable
Donald Trump Doesn’t Salute the Flag?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Melania Trump Steal Her United Nations Speech from Michelle Obama?,NaN,NaN,Snopes Aggregator,Unreliable
Was a Pedophile’s Decapitated Corpse Found on a Judge’s Doorstep After a Bail Hearing?,NaN,NaN,Snopes Aggregator,Unreliable
Were UFOs Spotted Over Oklahoma City?,NaN,NaN,Snopes Aggregator,Unreliable
Egg Balancing on the Equinox,NaN,NaN,Snopes Aggregator,Unreliable
Did Ashley Judd Say She Wanted to Live in the Middle East ‘Where Women Have More Rights’?,NaN,NaN,Snopes Aggregator,Unreliable
Iowa to Discontinue Soda and Candy for EBT Recipients on 1 October 2017?,NaN,NaN,Snopes Aggregator,Unreliable
Are Facebook Users Secretly Following You?,NaN,NaN,Snopes Aggregator,Unreliable
Did Jeff Goldblum ‘Trash’ Elon Musk and Mark Zuckerberg?,NaN,NaN,Snopes Aggregator,Unreliable
Was Hillary Clinton Caught on Tape Laughing About Irma’s ‘Wiping Out All of Those Florida Hillbillies?‘,NaN,NaN,Snopes Aggregator,Unreliable
Will All Child Support in the U.S. End on June 11th 2018?,NaN,NaN,Snopes Aggregator,Unreliable
Dollar Tree Closing All Stores?,NaN,NaN,Snopes Aggregator,Unreliable
Did Ben Carson Tell Hurricane Victims ‘Homelessness Is A Gift From Heaven’?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Hurricane Jose Causes 30-Foot Waves At Jennette’s Pier?,NaN,NaN,Snopes Aggregator,Unreliable
Is California Governor Jerry Brown Allowing HIV-Positive People to Donate Blood?,NaN,NaN,Snopes Aggregator,Unreliable
Was Alec Baldwin Arrested at the 2017 Emmys for Threatening President Donald Trump?,NaN,NaN,Snopes Aggregator,Unreliable
Was a Couple Hospitalized After a Man Got His Head Stuck in His Wife’s Vagina?,NaN,NaN,Snopes Aggregator,Unreliable
Did Jane Fonda Betray American POWs in North Vietnam?,NaN,NaN,Snopes Aggregator,Unreliable
McDonald’s Exposed for Using Human Meat?,NaN,NaN,Snopes Aggregator,Unreliable
Did Daisy the Dog Rescue Hundreds of 9/11 Survivors?,NaN,NaN,Snopes Aggregator,Unreliable
NASA Warns ‘Planet X’ Is Headed Straight for Earth?,NaN,NaN,Snopes Aggregator,Unreliable
Did National Geographic Purchase Footage of Destructive Tornadoes for $1 Million?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Giant Seahorse Fossil?,NaN,NaN,Snopes Aggregator,Unreliable
Did Planned Parenthood ‘Team Up’ With Satanists to Promote Abortion Rights in Missouri?,NaN,NaN,Snopes Aggregator,Unreliable
U.S. Government Ships Radioactive Milk to Black Communities as Part of a Genocide Plot?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Female Serial Killer is the Daughter of a United States Senator?,NaN,NaN,Snopes Aggregator,Unreliable
Permanent Closure at Walt Disney World Due to Hurricane Irma?,NaN,NaN,Snopes Aggregator,Unreliable
Are Reese’s Peanut Butter Cups Going to Be Discontinued?,NaN,NaN,Snopes Aggregator,Unreliable
Does a Never-Aired ‘Ghost Car’ Commercial Depict an Unexplained Supernatural  Event?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Muslim Mayor Outlaw Christmas in 2017?,NaN,NaN,Snopes Aggregator,Unreliable
Did Crabs Swarm a Florida Road After Irma?,NaN,NaN,Snopes Aggregator,Unreliable
Is This Heath Ledger Posing with Cillian Murphy?,NaN,NaN,Snopes Aggregator,Unreliable
Were Three Sharks Filmed in Miami Flood Waters After Hurricane Irma?,NaN,NaN,Snopes Aggregator,Unreliable
Woman Dies in Cinema While Watching ‘It’ Remake?,NaN,NaN,Snopes Aggregator,Unreliable
Did Stan Lee Fire Jennifer Lawrence for Comments About Trump?,NaN,NaN,Snopes Aggregator,Unreliable
Alexandria’s Genesis,NaN,NaN,Snopes Aggregator,Unreliable
Did Hurricane Irma Create a ‘Cloud Face’?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Is There a Children’s Toy Called ‘My First Vape’?,NaN,NaN,Snopes Aggregator,Unreliable
Did Barack Obama Attach an Ominous Message to a Letter He Wrote to Donald Trump?,NaN,NaN,Snopes Aggregator,Unreliable
Did Jennifer Lawrence Say Hurricanes Are ‘Nature’s Wrath’ Against Trump?,NaN,NaN,Snopes Aggregator,Unreliable
Lincoln and Lee’s Views on Slavery,NaN,NaN,Snopes Aggregator,Unreliable
Florida Governor Rick Scott Critically Injured During Hurricane Irma Cleanup?,NaN,NaN,Snopes Aggregator,Unreliable
Weather Reporter Hit by a Stop Sign During Storm?,NaN,NaN,Snopes Aggregator,Unreliable
Hurricane Irma Floods Miami International Airport?,NaN,NaN,Snopes Aggregator,Unreliable
Did Physicist Michio Kaku Say HAARP Caused Irma and Harvey?,NaN,NaN,Snopes Aggregator,Unreliable
Video Shows Hurricane Irma Hitting Antigua and Barbuda?,NaN,NaN,Snopes Aggregator,Unreliable
Did a 2005 Movie Feature Hurricanes Named Harvey and Irma?,NaN,NaN,Snopes Aggregator,Unreliable
During a Hurricane,NaN,NaN,Snopes Aggregator,Unreliable
Does a Viral Video of Mercury and Aluminum Mixing Suggest That Vaccines Are Unsafe?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Celine Dion Say ‘I Can’t Even Look at an American Flag’ Because ‘I Hate This Country?’,NaN,NaN,Snopes Aggregator,Unreliable
Did the United States Treasury Announce Plans to Put Robert E. Lee on the New $20 Bill?,NaN,NaN,Snopes Aggregator,Unreliable
Does Hurricane Florence Now Contain Sharks?,NaN,NaN,Snopes Aggregator,Unreliable
Did Hurricane Harvey Reveal Barack Obama’s Secret Ammunition Stash?,NaN,NaN,Snopes Aggregator,Unreliable
Did 81-Year-Old Arthur Hickenlooper Compete on ‘American Ninja Warrior?’,NaN,NaN,Snopes Aggregator,Unreliable
Is this a Doctor Mourning for a Mother Who Died During Childbirth?,NaN,NaN,Snopes Aggregator,Unreliable
Does the Zello Phone App Work Without the Internet?,NaN,NaN,Snopes Aggregator,Unreliable
Did FEMA Deny Aid to Harvey Victims Unless They Received Vaccinations?,NaN,NaN,Snopes Aggregator,Unreliable
Florida Sheriff’s Office Will Not Escort Miami Dolphins Until They Stand For National Anthem?,NaN,NaN,Snopes Aggregator,Unreliable
Are ‘Illegal Immigrants’ To Blame For a Hepatitis A Outbreak in San Diego?,NaN,NaN,Snopes Aggregator,Unreliable
Is Hurricane Irma on Track to Become a ‘Category 6’ Storm?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Trump Save Two Cats After Hurricane Harvey?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Should You Open Windows During a Hurricane?,NaN,NaN,Snopes Aggregator,Unreliable
Did Louis Farrakhan Renounce Islam and Convert to Christianity?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Texas Mosque Refuse to Help Hurricane Harvey Survivors?,NaN,NaN,Snopes Aggregator,Unreliable
Osteen’s Lakewood Church Checking Member’s Tithe Records?,NaN,NaN,Snopes Aggregator,Unreliable
Was a Florida Teacher Suspended After a Shocking Sex Ed Demonstration?,NaN,NaN,Snopes Aggregator,Unreliable
Is the Red Cross Charging Victims of Hurricane Harvey for Disaster Relief Services?,NaN,NaN,Snopes Aggregator,Unreliable
Did CNN Stage a Hurricane Harvey Rescue Video?,NaN,NaN,Snopes Aggregator,Unreliable
Did CNN Mistake Tim Allen for Joel Osteen?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Trump Assist Rescuers in Pulling Hurricane Victims from Floodwaters?,NaN,NaN,Snopes Aggregator,Unreliable
Only 60 of 1,NaN,NaN,Snopes Aggregator,Unreliable
Is There a Link Between Major Hurricanes and 29 August?,NaN,NaN,Snopes Aggregator,Unreliable
Melania Trump Wore Heels to Visit Texas After a Hurricane?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Protests Seek to #EndFathersDay?,NaN,NaN,Snopes Aggregator,Unreliable
Can Animal Rescuers Be Prosecuted for Theft for Saving Animals from Harvey?,NaN,NaN,Snopes Aggregator,Unreliable
Was Barack Obama President During Hurricane Katrina?,NaN,NaN,Snopes Aggregator,Unreliable
Paul Ryan Endorsed Antifa?,NaN,NaN,Snopes Aggregator,Unreliable
Navy Destroyer Collides with Building in Downtown Houston?,NaN,NaN,Snopes Aggregator,Unreliable
Is This James Earl Jones Dressed as Darth Vader?,NaN,NaN,Snopes Aggregator,Unreliable
Joel Osteen Sails Luxury Yacht Through Flooded Houston to Pass out Copies of His Book?,NaN,NaN,Snopes Aggregator,Unreliable
Floyd Mayweather Jr. Donates a ‘Whopping Sum of Money’ to Houston After Hurricane?,NaN,NaN,Snopes Aggregator,Unreliable
Trump Gets a Spray Tan Before Appearing on Television?,NaN,NaN,Snopes Aggregator,Unreliable
Shelby Township Meijer ‘Human Trafficking’ Warning,NaN,NaN,Snopes Aggregator,Unreliable
Did J.K. Rowling Buy a Twitter User’s Home as Revenge for His Criticism?,NaN,NaN,Snopes Aggregator,Unreliable
Was Hillary Clinton Caught on a Hot Mic Trash-Talking Obama?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Black Lives Matter ‘Thugs’ Blocked Emergency Crews from Reaching Hurricane Victims?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Picture Show a Shark Swimming Down a Highway After a Hurricane?,NaN,NaN,Snopes Aggregator,Unreliable
Barack Obama Laughs with George Soros?,NaN,NaN,Snopes Aggregator,Unreliable
Florida Man Turns Himself in for Murdering Imaginary Friend?,NaN,NaN,Snopes Aggregator,Unreliable
Did Mariah Carey Cover a Dead Kennedys Song to Support Antifa?,NaN,NaN,Snopes Aggregator,Unreliable
Were Enormous Pyramids Just Discovered In Antarctica?,NaN,NaN,Snopes Aggregator,Unreliable
Did Bart Simpson Mock Islam During a Chalkboard Gag?,NaN,NaN,Snopes Aggregator,Unreliable
Mugshots of Antifa Members Arrested at Charlottesville?,NaN,NaN,Snopes Aggregator,Unreliable
Is It Legal in Texas to Use Deadly Force to Protect a Statue from Vandalism?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Green Bay Packers Coach Just ‘Piss Off’ His ‘Racist’ Players With What He Put on the Field?,NaN,NaN,Snopes Aggregator,Unreliable
Ohio Cemetery Begins Exhuming Bodies of Confederate Soldiers?,NaN,NaN,Snopes Aggregator,Unreliable
Did an ‘Anti-Fascist’ Stab a Man Over a ‘Neo-Nazi’ Haircut?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Promoter Found Dead After Exposing Mayweather-McGregor ‘Fake Fight?’,NaN,NaN,Snopes Aggregator,Unreliable
Did Sunlight Form a Cross During the Eclipse?,NaN,NaN,Snopes Aggregator,Unreliable
Did Antifa Announce a Plan to Protest the Sturgis Motorcycle Rally in 2018?,NaN,NaN,Snopes Aggregator,Unreliable
Solar Eclipse in the South Pacific,NaN,NaN,Snopes Aggregator,Unreliable
Counter-Demonstrators Didn’t Have Permits in Charlottesville?,NaN,NaN,Snopes Aggregator,Unreliable
‘Boy Shot by Stepfather’ Appeal,NaN,NaN,Snopes Aggregator,Unreliable
Did a Former BBC Investigative Journalist Die in ‘Suspicious Circumstances’?,NaN,NaN,Snopes Aggregator,Unreliable
Solar Eclipse from Space,NaN,NaN,Snopes Aggregator,Unreliable
Is This Antifa Manual Real?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Law Professor Claim the 2017 Solar Eclipse is ‘Racist’?,NaN,NaN,Snopes Aggregator,Unreliable
Is Pepsi Contaminated with HIV?,NaN,NaN,Snopes Aggregator,Unreliable
Scientists Miscalculate,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Maxine Waters Fears a Trump-led War After Nuclear Attack by North Korea?,NaN,NaN,Snopes Aggregator,Unreliable
Are These Rainbow Mountains Real?,NaN,NaN,Snopes Aggregator,Unreliable
Are Refugee Tuberculosis Rates in San Diego ‘More Than 100 Times Greater’ Than the National Average?,NaN,NaN,Snopes Aggregator,Unreliable
Were Police Told to ‘Stand Down’ Amid Violence in Charlottesville?,NaN,NaN,Snopes Aggregator,Unreliable
Is This Steve Bannon With a Bloody Lip?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Snapshot of Freddie Mercury Putting on Makeup?,NaN,NaN,Snopes Aggregator,Unreliable
‘Antifa’ Flyers Call For the Murder of White Children?,NaN,NaN,Snopes Aggregator,Unreliable
Was White Supremacist Who Killed Protester a Democrat Who Visited Obama in Oval Office?,NaN,NaN,Snopes Aggregator,Unreliable
Is the Accused Charlottesville Killer an ‘Anti-Trump Leftist’ Supported by Clinton,NaN,NaN,Snopes Aggregator,Unreliable
Was a Noah’s Ark Theme Park Destroyed in a Flood?,NaN,NaN,Snopes Aggregator,Unreliable
Tainted Buffet at Jackson Strip Club Blamed After Severe Diarrhea Incident on Stage?,NaN,NaN,Snopes Aggregator,Unreliable
Trump Photographed with Charlottesville White Supremacist?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did an ‘Illegal’ Immigrant Brag About Voting Five Times for Hillary Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Antifa Member Photographed Beating Police Officer?,NaN,NaN,Snopes Aggregator,Unreliable
Did Barack Obama Order Harvard to Reverse His Daughter Malia’s Suspension?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Photograph Show a KKK Member Treated by Black Hospital Staff?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Donald Trump Steal His ‘Fire and Fury’ Line from a Comic Book Villain?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Donald Trump Target a Democratic State Senator’s Family for Deportation?,NaN,NaN,Snopes Aggregator,Unreliable
Has NASA Called the Image of the Virgin of Guadalupe ‘Living’?,NaN,NaN,Snopes Aggregator,Unreliable
